Sample ID,Temp,pH,DO %Sat,DO mg/L,Turb NTU,EC uS/cm,TDS mg/L,,Alkalinity,Chloride,,,,Magnesium (Mg2+),,,,TH,Calcium (Ca2+)
128,18.4,8.51,93.4,8.51,189,2164,1110,,187,4.26,,,,31.0797,,,,290,91.5
129,18.5,8.42,95.4,8.63,185,2402,1210,,188,2.84,,,,48.2355,,,,265,42.3
130,18.83,8.41,96.5,8.74,200,1776,808,,181,11.36,,,,54.1161,,,,180,68.8
131,18.6,8.47,95.6,8.67,190,2304,1030,,163,9.94,,,,27.0216,,,,590,106
132,18.5,8.57,96.7,8.73,189,2245,1210,,558,17.04,,,,117.612,,,,435,77.5
133,18.7,8.56,94.6,7.61,364,2656,1340,,410,11.36,,,,86.8725,,,,460,91.4
134,18.7,8.45,96.5,8.75,155,842,368,,391,15.62,,,,89.5698,,,,340,78.6
135,18.8,8.48,97.1,8.77,184,787,374,,254,14.2,,,,63.5202,,,,358,105.7
136,18.8,8.56,96.7,8.7,181,1556,769,,308,12.78,,,,61.3089,,,,510,79.7
137,18.8,8.56,97.2,8.79,158,828,406,,467,15.62,,,,104.5629,,,,525,74.5
138,18.85,8.54,97.9,8.84,176,1047,802,,432,11.36,,,,109.4715,,,,420,96.2
139,18.85,8.55,97.5,8.78,174,917,415,,470,5.68,,,,78.6834,,,,330,48.2
140,18.8,8.54,97.2,8.79,189,1001,466,,329,7.1,,,,68.4774,,,,654,46
141,18.9,8.56,96.4,8.69,181,948,436,,557,17.04,,,,147.744,,,,660,79.3
142,18.9,8.56,96.6,8.71,177,959,455,,655,12.78,,,,141.1101,,,,530,109.8
143,19,7.36,97.1,8.73,194,1023,465,,437,7.1,,,,102.1086,,,,410,101.6
144,19,8.58,96.8,8.71,189,748,361,,273,5.68,,,,74.9412,,,,156,28.06
1,19.2,7.41,93.2,8.3,280,356,138,,134,15.62,,,,31.08942,,,,110,31.43
2,18.9,8.61,92.2,8.3,191,222,75,,91,7.1,,,,19.09,,,,190,39.58
3,18,8.57,76.7,6.97,239,441,165,,143,5.68,,,,36.55,,,,96,22.86
4,18.6,8.59,91.8,8.32,196,144,43,,72,15.62,,,,17.77,,,,136,17.44
5,18.6,8.58,93,8.45,184,245,91,,131,4.26,,,,28.81,,,,128,19.39
6,18.6,8.59,95.2,8.61,190,242,87,,90,9.94,,,,26.39,,,,216,31.44
7,18.68,8.57,96,8.71,198,453,194,,190,4.26,,,,44.85,,,,146,31.2
8,18.7,8.57,96.3,8.72,257,456,194,,130,7.1,,,,27.9,,,,146,16.4
9,18.7,8.55,97.1,8.79,198,309,130,,114,8.52,,,,31.49,,,,94,24.1
10,18.8,8.56,96.3,8.71,221,167,55,,65,15.62,,,,16.99,,,,108,29.27
11,18.8,8.52,96.7,8.72,368,178,62,,80,7.1,,,,19.13,,,,70,8.75
12,18.8,8.53,96.7,8.7,223,161,57,,48,5.68,,,,14.88,,,,230,46.18
13,18.9,7.3,97,8.74,559,504,194,,210,8.52,,,,44.67,,,,86,26.88
14,18.9,8.52,97.2,8.74,2452,203,65,,80,11.36,,,,14.37,,,,100,12.74
15,19.4,7.44,96.3,8.62,335,167,62,,79,4.26,,,,21.2,,,,98,20.85
16,19.4,7.34,96.4,8.61,3769,235,82,,68,5.68,,,,18.75,,,,124,11.81
17,19.3,7.27,95.1,8.51,1130,211,74,,84,9.94,,,,27.26,,,,130,22.22
18,19.3,7.88,96.8,8.68,1721,246,90,,95,7.1,,,,26.19,,,,122,17.94
19,19.1,7.88,96.2,8.65,2299,201,81,,75,9.95,,,,25.29,,,,84,33.6
20,19.1,7.8,95.7,8.58,3106,188,71,,54,5.68,,,,12.25,,,,38,11.88
21,19.1,7.9,97.1,8.71,2278,228,81,,15,12.78,,,,6.35,,,,122,20.4
22,19.2,7.9,96.3,8.64,209,240,79,,86,8.52,,,,24.69,,,,216,65.45
23,19.2,7.92,96.4,8.65,210,486,194,,166,250,,,,36.58,,,,108,14.12
24,19.1,7.93,96.7,8.69,198,186,71,,106,170,,,,22.81,,,,230,38.98
25,19.2,7.92,96.6,8.66,192,140,41,,192,,,,,46.42,,,,71,25.36
26,19.1,7.92,96.4,8.66,193,130,37,,52,7.1,,,,11.09,,,,,
27,19.1,7.79,96.4,8.67,231,47,,,,,,,,,,,,136,21.25
28,19.1,7.67,96.9,8.67,348,220,10,,104,5.68,,,,27.88,,,,150,28.85
29,19.1,8.05,97.1,8.73,803,178,82,,115,8.52,,,,29.44,,,,222,71.61
