Latitude,Longitude,pH,EC,TDS,Cl (mg/l),TH (mg/l),Turbidity (NTU),Alkalinity (mg/l),Ca (mg/l),K (mg/l),Mg (mg/l),Na (mg/l),Fe (mg/l),Ba (mg/l),B (mg/l),Cr (mg/l),Pb (mg/l),Mn (mg/l),Nitrate (mg/l),Phosphate (mg/l)
26.399507,80.049366,9.05,2626,767,2.84,540,1.51,158,133.26,2.1,71,212.3,0.01,0.0875,0.41,8.69,0.03,0.00,4.19,2.896
26.401632,80.058265,8.18,830,542,8.52,365,0.54,166,23.58,3.24,35.9,139,0.01,0.0625,0.30,0.00,0.03,0.00,3.41,0
26.402836,80.062842,7.69,1250,331,12.78,260,2.26,245,136.02,6.78,34.6,109.9,0.01,0.075,0.04,0.03,0.14,0.00,66.09,0
26.403635,80.065756,7.91,1180,332,12.78,284,0.97,314,88.44,5.34,54.3,110.2,0.02,0.05,0.10,0.20,0.04,0.00,49.62,0
26.405956,80.073908,7.95,1090,340,8.52,270,1.49,322,52.74,6.18,12.9,104.2,0.01,0.1125,0.14,0.00,0.03,0.05,8.15,0
26.407079,80.078856,8.6,1152,338,12.78,274,1.75,291,50.48,2.94,33.3,232.1,0.01,0.075,0.25,0.00,0.03,0.00,66.40,0
26.406485,80.078791,8.61,1240,440,18.46,338,0.82,158,89.6,4.86,14.5,130.5,0.02,0.0625,0.01,0.00,0.03,0.05,8.71,0
26.404112,80.068272,8.18,1120,442,21.3,440,2.87,316,87.36,4.44,17.1,135.5,0.01,0.0375,0.10,0.06,0.03,0.04,12.08,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.275,,0.553191489,,,,
