S.No.,Sample ID,Latitude,Longitude,Remark,pH,EC,Turbidity (NTU),Ca (mg/l),K (mg/l),Cl (mg/l),Fe (mg/l),Ba (mg/l),B (mg/l),Cr (mg/l),Pb (mg/l),Mn (mg/l),,,,,,,,,,,,,,,,,
36,RGW-14,26.408232,80.041833,HP,7.59,1348,1.26,115.62,2.94,7.1,0,0.1875,0.1125,0,0.025,0.15,,,,,,,,,,,,,,,,,
37,RGW-15,26.408335,80.041655,HP,7.62,2760,2.14,128.28,3.3,9.94,0.01,0.1625,0.0875,10.0375,0.025,0.0375,,,,,,,,,,,,,,,,,
38,RGW-16,26.406814,80.043526,HP,8.08,1399,1.2,80.16,3.42,5.68,0.01,0.2375,0.0625,2.925,0.0375,0,,,,,,,,,,,,,,,,,
39,RGW-17,26.40669,80.043604,HP,7.82,3750,0.39,52.74,3.3,9.94,0.01,0.2,0.125,0,0.0375,0.0125,,,,,,,,,,,,,,,,,
40,RGW-18,26.399507,80.049366,HP,9.05,1626,1.51,13.26,2.1,2.84,0.01,0.0875,0.4125,8.6875,0.025,0,,,,,,,,,,,,,,,,,
41,RGW-19,26.401632,80.058265,HP,8.18,1830,0.54,23.58,3.24,8.52,0.01,0.0625,0.3,0,0.025,0,,,,,,,,,,,,,,,,,
42,RGW-20,26.402836,80.062842,HP,7.69,2250,2.26,136.02,6.78,12.78,0.01,0.075,0.0375,0.025,0.1375,0,,,,,,,,,,,,,,,,,
43,RGW-21,26.403635,80.065756,HP,7.91,3180,0.97,88.44,5.34,12.78,0.02,0.05,0.1,0.2,0.0375,0,,,,,,,,,,,,,,,,,
44,RGW-22,26.405956,80.073908,HP,7.95,2490,1.49,52.74,6.18,8.52,0.01,0.1125,0.1375,0,0.025,0.05,,,,,,,,,,,,,,,,,
45,RGW-23,26.407079,80.078856,HP,8.6,1152,1.75,30.48,2.94,12.78,0.01,0.075,0.25,0,0.025,0,,,,,,,,,,,,,,,,,
46,RGW-24,26.406485,80.078791,HP,8.61,3240,0.82,69.6,4.86,18.46,0.02,0.0625,0.0125,0,0.025,0.05,,,,,,,,,,,,,,,,,
47,RGW-25,26.404112,80.068272,HP,8.18,2120,2.87,87.36,4.44,21.3,0.01,0.0375,0.1,0.0625,0.025,0.0375,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
