Sample no,Li,Na,Mg,Al,P,K,Ca,Cr,Mn,Fe,Co,Ni,As,Se,Sr,Cd,Sb,Ba
92,2.109,148881.907,10803.135,<0.000,<0.000,2036.481,136.825,0.72,0.088,<0.000,0,<0.000,<0.000,0.218,40.929,0,<0.000,3.55
93,3.256,208497.872,23778.364,<0.000,<0.000,2795.783,197.013,12.871,<0.000,<0.000,0.016,<0.000,<0.000,<0.000,47.2,0.007,<0.000,7.762
94,2.752,99607.113,23036.166,<0.000,<0.000,3301.956,337.75,0.263,<0.000,<0.000,0,<0.000,<0.000,<0.000,90.984,0,<0.000,8.776
95,5.159,262845.568,33740.661,<0.000,<0.000,2243.657,301.807,21.563,0.402,<0.000,0.004,<0.000,<0.000,0.146,82.563,0,<0.000,9.1
96,1.468,172247.308,11179.483,<0.000,<0.000,1250.316,78.803,0.521,0.216,<0.000,0.001,<0.000,<0.000,0,22.417,0,<0.000,4.667
97,3.795,281479.727,38725.185,<0.000,<0.000,3744.988,421.767,0.118,1.514,<0.000,0.008,<0.000,<0.000,0.436,2857.249,0,<0.000,2.683
98,1.771,178378.18,24993.7,<0.000,<0.000,2755.491,230.356,0.08,0.704,<0.000,0.003,<0.000,<0.000,0.363,61.144,0,<0.000,1.543
99,2.63,183941.62,33644.843,<0.000,<0.000,3004.7,287.951,0.21,0.441,<0.000,0.008,<0.000,<0.000,0,89.829,0,<0.000,2.609
100,2.163,251705.3,22170.86,<0.000,<0.000,2690.259,161.506,0.379,0.974,<0.000,0.007,<0.000,<0.000,0.654,2071.262,0,<0.000,3.939
101,0.697,26603.656,19824.179,<0.000,<0.000,1885.779,168.435,0.305,0.021,<0.000,0,<0.000,<0.000,<0.000,48.602,0,<0.000,2.278
102,1.672,54625.849,54456.713,<0.000,<0.000,3702.226,500.154,<0.000,4.459,<0.000,0.015,<0.000,<0.000,<0.000,2292.065,0,<0.000,2.337
103,0.622,120088.905,4216.003,<0.000,<0.000,1229.61,28.144,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,8.93,0,<0.000,0.463
104,0.882,104127.649,12958.994,<0.000,<0.000,1626.124,76.638,0.047,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,28.784,0,<0.000,1.992
105,0.538,117369.862,3320.785,<0.000,<0.000,1094.31,24.247,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,8.409,0,<0.000,0.235
106,0.702,139832.469,4961.633,<0.000,<0.000,1174.644,30.308,0.044,<0.000,<0.000,<0.000,<0.000,<0.000,<0.000,12.158,0.014,<0.000,0.647
107,1.852,255713.922,21851.27,<0.000,<0.000,5404.26,72.742,0.07,0.158,<0.000,0.015,<0.000,<0.000,<0.000,32.436,0.007,<0.000,4.704
108,0.919,32251.373,28211.661,<0.000,<0.000,2096.715,193.549,0.124,0.19,<0.000,0.003,<0.000,<0.000,<0.000,2419.649,0,<0.000,3.748
109,0.977,59349.674,30241.697,<0.000,<0.000,1895.099,153.713,33.318,0.306,<0.000,0,<0.000,<0.000,<0.000,62.195,0,<0.000,2.403
110,1.043,61069.36,31793.339,<0.000,<0.000,2091.899,174.497,1085.654,0.109,<0.000,0.003,<0.000,<0.000,<0.000,1904.518,0.007,<0.000,2.462
111,17.682,105453.115,50852.837,<0.000,<0.000,4787.29,1895.525,1.306,5.248,<0.000,0.036,0.263,1.022,1.038,807.494,0,0.135,70.942
112,19.14,116838.615,63311.093,<0.000,<0.000,5123.486,2598.42,8553.033,3.189,<0.000,0.007,0.029,1.022,0.52,2030.437,0.16,0.115,103.724
113,16.558,117255.82,51035.519,<0.000,<0.000,4324.402,2831.972,7189.126,7.088,<0.000,0.029,0.029,0.383,2.076,845.507,0,0.212,69.127
114,15.457,113602.196,44701.945,<0.000,<0.000,4370.992,1774.178,2.738,2.934,<0.000,0.007,0.702,1.022,<0.000,676.622,0,0.058,60.252
115,13.541,150731.068,41209.149,<0.000,<0.000,3893.095,1636.82,0.474,8.746,5.313,0.065,<0.000,0.511,2.593,685.809,0,0.154,51.024
116,20.003,133630.467,72704.292,<0.000,<0.000,5961.167,4608.934,39636.643,18.314,<0.000,0.203,0.059,0.767,<0.000,5154.601,0,0.192,43.107
117,13.094,114328.864,37058.418,<0.000,<0.000,4431.087,1497.16,8.214,6.942,<0.000,0.014,0.527,0.256,<0.000,509.601,0,0.212,54.654
118,20.221,102940.958,78229.957,<0.000,<0.000,5300.211,4915.833,1.103,55.555,<0.000,0.297,23.354,0.383,<0.000,5646.283,0.053,0.096,92.225
119,14.265,129113.058,50671.762,<0.000,<0.000,3892.479,1762.736,10078.798,2.278,<0.000,0.087,0.205,1.15,0.518,2986.153,0,0.038,50.671
120,31.438,167816.624,192373.937,<0.000,<0.000,7845.173,7868.314,136.293,0.164,<0.000,0.137,0.41,0.895,<0.000,12565.368,0,0.096,94.697
121,14.457,61609.684,59438.55,<0.000,<0.000,5398.372,3001.408,10460.618,7.708,<0.000,0.043,0.293,1.022,<0.000,4457.32,0.106,0.058,77.902
122,12.536,133769.785,41521.132,<0.000,<0.000,3820.695,1419.327,32.265,0.838,<0.000,0.007,<0.000,1.661,1.038,595.173,0,0.115,28.989
123,14.409,133809.768,52193.545,<0.000,<0.000,4369.939,2499.968,10453.281,3.517,<0.000,0.051,0,0.895,2.596,1889.125,0,0.077,36.603
124,19.01,153852.964,80063.535,<0.000,<0.000,5437.655,2996.837,8904.668,9.657,<0.000,0.08,0.117,0.767,2.076,8713.338,0.16,0.077,89.149
125,17.528,227172.29,58574.987,<0.000,<0.000,5368.284,2300.775,3.096,0.164,<0.000,0.087,0.176,0.383,<0.000,535.223,0,0.077,25.914
126,8.65,191354.102,25767.19,<0.000,<0.000,4548.365,1893.224,0.368,0.947,<0.000,0.101,1.288,0.511,0.518,302.266,0,0.019,27.779
127,48.59,478052.433,131425.474,<0.000,<0.000,51519.355,638.673,0.077,<0.000,<0.000,0.325,0.585,0.639,<0.000,243.243,0.053,0.077,4.436
128,9.765,201350.645,97550.019,<0.000,<0.000,12357.244,2396.931,<0.000,2.38,<0.000,0.029,0.029,0.511,<0.000,9886.653,0,0.077,26.972
129,8.908,347137.531,65333.321,<0.000,<0.000,8007.516,1419.329,<0.000,1.421,<0.000,0.058,0.088,0.383,0.518,5757.774,0,0,32.317
130,7.727,217861.717,60429.18,<0.000,<0.000,4970.937,537.946,<0.000,0.838,<0.000,0.022,0,0,<0.000,102.059,0.053,0,7.058
131,44.406,309134.123,85799.743,<0.000,<0.000,10016.206,7437.557,0.945,96.276,0.198,0.381,0.767,0.103,3.868,4628.827,<0.000,0.713,230.273
